,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码,订单编号
105,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2431323502185891
106,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251,2430003128742560
107,KAWAI 鱼肝油钙丸 ,238,2,498704921261,,,,卖家已发货，等待买家确认,498704921261,2248199972990352
108,日本新谷酵素加强版黄金夜,556,3,456026429352,,,,卖家已发货，等待买家确认,456026429352,2428979125289366
109,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2430221334116063
110,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2428129319059299
111,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2428118151173766
112,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2245563390156058
113,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251,2246052768251758
114,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2245970565355846
115,日本kawai卡哇伊肝油,259,2,498704921251,,,保证正品，及时发货，包装良好，谢谢！,交易关闭,498704921251,2426916501515892
116,日本kawai卡哇伊肝油,259,2,498704921251,,,保证正品，发货请快一点，包装良好，谢谢。,交易关闭,498704921251,2424956927529967
117,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732,2246550576843959
118,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易关闭,498704921251,2533614260013435
119,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2425603094774680
120,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732,2244848365740351
121,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2422406724496674
122,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2245477370074357
123,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2528788617372383
124,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2527762640964428
125,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2421467325395667
126,日本FANCL复合维生素,99,1,490804928347,,,帮我发圆通快递吧,卖家已发货，等待买家确认,490804928347,2528274821815946
127,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2526720008245946
128,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2526019231383807
129,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347,2524381801855305
130,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2420177493876095
131,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341,2523582253955531
132,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2417733319010690
133,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2522448815159144
134,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2521126832204005
135,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2519408239923304
136,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251,2519236478422626
137,日本代购新谷酵素夜迟减肥,399,3,456026429338,,,,卖家已发货，等待买家确认,456026429338,2416785090078291
138,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2517500670582228
139,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2518386866668428
140,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2516937818012551
141,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2516036247303333
142,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2414977501396981
143,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2515915410529015
144,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2413620523871568
145,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261,2413195111081479
146,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412554719296890
147,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2513378842205828
148,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2512832437198209
149,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412983096895293
150,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412896336789274
151,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412698491309793
152,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2511128844475814
153,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2510639473429936
154,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2510153033634603
155,FANCL/芳珂 HTC,198,2,490804926704,,,,卖家已发货，等待买家确认,490804926704,2409615151381868
156,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2509367648686739
157,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2509176648746226
158,swisse护肝片 澳洲,170,1,931177058999,,,,交易关闭,931177058999,2508018813934545
159,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347,2506449226316542
160,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2502638677569134
161,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2404355755165273
162,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易关闭,490804914233,2244595776621943
163,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2244598970169250
164,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2242602993305747
165,fancl/芳珂 祛痘淡,198,1,490804934733,,,,等待买家付款,490804934733,2244223180207243
166,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2403284113502389
167,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2499805676722139
168,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易关闭,456026429338,2501442264034732
169,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2403817698971397
170,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2496957272789514
171,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2496589408294912
172,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2402997330630161
173,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2497055666754929
