订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
228028316460,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
252328510737,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252160388906,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
228118897452,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
228118897452,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
228021396192,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
228021396192,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252281709508,comvita康维他新西,249,1,940050100111,,,,交易关闭,940050100111
252300434741,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252286750395,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
264060545138,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
252160249387,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347
263887424176,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
263946305840,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
228053078366,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
252112869290,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
227949516031,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
263809304901,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263809304901,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
263809304901,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
252021869621,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
252041770476,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
251855452035,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263793765798,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
263793765798,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
263690384717,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263736501779,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
251935854759,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
263626820070,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
227977938610,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
227979757302,fancl/芳珂 祛痘淡,198,2,490804934733,,,,卖家已发货，等待买家确认,490804934733
263589507956,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
251725331707,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263736826488,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
263569764423,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263560604620,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易关闭,456026429341
251857570439,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263558484785,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易关闭,456026429341
251686208303,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
227950358028,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,交易关闭,ecms-tz-0010
251831470603,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
251773349979,ASANA补肝素 螺旋藻,198,1,489700682540,,,,卖家已发货，等待买家确认,489700682540
263506104187,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
263584801074,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263480747137,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263566525436,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263566525436,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
263473983026,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
227925998809,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
251699629885,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
251699629885,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
227914517545,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
227897878900,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
227897878900,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
263349604138,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263338707298,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
251459971920,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
251444931291,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263285323961,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
227756676737,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010
263409186202,日本FANCL复合维生素,99,10,490804928347,,,,卖家已发货，等待买家确认,490804928347
251549994177,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306
251368051761,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
251512670451,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易关闭,498704921251
251487893414,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
227838337624,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
251451213678,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
263157783345,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
227673019496,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
263250661274,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
263132220652,FANCL/芳珂 HTC,198,1,490804926704,,,,交易关闭,490804926704
251450950654,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
263088804114,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263243706027,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
227824798586,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
263065404142,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
251218535271,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
227813198969,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
227651859240,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
227651859240,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
263086825475,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
263086825475,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
251172808692,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
251164355497,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
